id,name,nameShortened
775595,"BLAST Bounty Spring 2025: Closed Qualifier","Bounty Spring 2025 CQ"
775711,"BLAST Bounty Spring 2025","BLAST Bounty Spring 2025"
775741,"Skyesports Souvenir 2025 - Closed Qualifiers","Skyesports Souvenir 2025 - CQ"
775774,"Gamers Club Liga Série A: January 2025 (Playoffs only)","GC Liga Série A: January 2025"
775864,"BLAST Rising Europe Spring 2025: Closed Qualifier","BLAST Rising EU Spring 25: CQ"
775865,"BLAST Rising South America Spring 2025: Closed Qualifier","BLAST Rising SA Spring 25: CQ"
775866,"BLAST Rising Asia Spring 2025: Closed Qualifier","BLAST Rising A Spring 25: CQ"
775867,"BLAST Rising North America Spring 2025: Closed Qualifier","BLAST Rising NA Spring 25: CQ"
775868,"BLAST Rising Europe Spring 2025","BLAST Rising EU Spring 2025"
775869,"BLAST Rising South America Spring 2025","BLAST Rising SA Spring 2025"
775870,"BLAST Rising Asia Spring 2025","BLAST Rising Asia Spring 2025"
775871,"BLAST Rising North America Spring 2025","BLAST Rising NA Spring 2025"
775935,"Dfrag Invitational 2025","Dfrag Invitational 2025"
775936,"Dfrag Invitational 2025: Closed Qualifier","Dfrag Invitational 2025: CQ"
776126,"Gamers Club Liga Série A: February 2025 (Playoffs)","Liga Série A Feb 2025 Playoffs"
798725,"BLAST Open Spring 2025","BLAST Open Spring 2025"
805158,"Svenska Elitserien Spring 2025","Svenska Elitserien Spring 2025"
825423,"Gamers Club Liga Série A: March 2025 (Playoffs only)","GC Liga Série A: March 2025"
825546,"YGames PRO Series 2025","YGames PRO Series 2025"
825722,"FiReLEAGUE 2025 South America East","FiReLEAGUE 2025 SA East"
825723,"FiReLEAGUE 2025 South America South","FiReLEAGUE 2025 SA South"
825767,"Thunderpick World Championship 2025 EU#1","Thunderpick WC 2025 EU#1"
825895,"Asian Champions League 2025 - CS","Asian Champions League 2025"
825924,"FiReLEAGUE 2025 Finals","FiReLEAGUE 2025 Finals"
825936,"Gamers Club Liga Série A: April 2025 (Playoffs only)","GC Liga Série A: April 2025"
825952,"BLAST Rivals Spring 2025","BLAST Rivals Spring 2025"
826012,"Thunderpick World Championship 2025 NA#1","Thunderpick WC 2025 NA#1"
826014,"MESA Nomadic Masters: Spring 2025","MESA Nomadic Masters 2025"
826167,"BLAST.tv Austin Major 2025","BLAST.tv Austin Major 2025"
826186,"Gamers Club Liga Série A: May 2025 (Playoffs only)","GC Liga Série A: May 2025"
826188,"Gamers Club Series A May 2025 (Playoffs Only)","Gamers Club Series A May 2025"
826562,"Thunderpick World Championship 2025 SA#1","Thunderpick WC 2025 SA#1"
826582,"GamersClub Series A June 2025","GamersClub Series A June 2025"
826611,"Thunderpick World Championship 2025 SA#2","Thunderpick WC 2025 SA#2"
826634,"Rushzone CS2 June 2025","Rushzone CS2 June 2025"
826635,"Rushzone CS2 July 2025","Rushzone CS2 July 2025"
826684,"Esports World Cup 2025 - DOTA2","EWC 2025 - DOTA2"
826688,"Esports World Cup 2025 - Counter-Strike 2","EWC 2025 - Counter-Strike 2"
826706,"Circuito FERJEE 2025","Circuito FERJEE 2025"
826738,"Whale.io Cup 2025","Whale.io Cup 2025"
826761,"Clavision DOTA2 Masters 2025: Snow-Ruyi","Clavision DOTA2 Masters 2025"
826787,"Thunderpick World Championship 2025 NA#2","Thunderpick WC 2025 NA#2"
826838,"Liga Gamers Club Série A 2025 July","Liga GC Série A 2025 July"
826851,"BLAST Risings Fall 2025 - Europe","BLAST Risings Fall 2025 - EU"
826875,"IEM Cologne 2025","IEM Cologne 2025"
826886,"BLAST Risings Fall 2025 - South America","BLAST Risings Fall 2025 - SA"
826887,"BLAST Risings Fall 2025 - North America","BLAST Risings Fall 2025 - NA"
826888,"BLAST Risings Fall 2025 - Asia","BLAST Risings Fall 2025 - Asia"
826896,"Thunderpick World Championship 2025 EU#2","Thunderpick WC 2025 EU#2"
826914,"Rushzone CS2 August 2025","Rushzone CS2 August 2025"
826937,"BLAST Bounty Fall 2025: Closed Qualifier","BLAST Bounty Fall 2025: CQ"
826945,"BLAST Bounty Fall 2025","BLAST Bounty Fall 2025"
826974,"Svenska Elitserien Fall 2025","Svenska Elitserien Fall 2025"
826993,"GamersClub Series A August 2025 (Playoffs Only)","GamersClub Series A AUG 2025"
827019,"BLAST Open Fall 2025","BLAST Open Fall 2025"
827046,"Rushzone CS2 September 2025","Rushzone CS2 September 2025"
827118,"Thunderpick World Championship 2025 Closed Qualifiers","Thunderpick WC 2025 CQ"
827138,"The International 2025","The International 2025"
