id,name,nameShortened
223643,"Pelaajat.com Nordic Masters Spring 2023: Icelandic Qualifier","Pelaajat.com Nordic "
304225,"DPC EEU 2023 Tour 1: Open Qualifier #1","DPC EEU 2023 Tour 1:"
304274,"DPC CN 2023 Tour 1: Open Qualifier #1","DPC CN 2023 Tour 1: "
304359,"DPC SA 2023 Tour 1: Open Qualifier #1","DPC SA 2023 Tour 1: "
304576,"DPC SEA 2023 Tour 1: Open Qualifier #1","DPC SEA 2023 Tour 1:"
304577,"DPC WEU 2023 Tour 1: Open Qualifier #1","DPC WEU 2023 Tour 1:"
305707,"DPC NA 2023 Tour 1: Open Qualifier #1","DPC NA 2023 Tour 1: "
306820,"DPC EEU 2023 Tour 1: Open Qualifier #2","DPC EEU 2023 Tour 1:"
306821,"DPC CN 2023 Tour 1: Open Qualifier #2","DPC CN 2023 Tour 1: "
306822,"DPC SA 2023 Tour 1: Open Qualifier #2","DPC SA 2023 Tour 1: "
306823,"DPC SEA 2023 Tour 1: Open Qualifier #2","DPC SEA 2023 Tour 1:"
307050,"DPC WEU 2023 Tour 1: Open Qualifier #2","DPC WEU 2023 Tour 1:"
307052,"DPC NA 2023 Tour 1: Open Qualifier #2","DPC NA 2023 Tour 1: "
307058,"DPC EEU 2023 Tour 1: Open Qualifier #3","DPC EEU 2023 Tour 1:"
307059,"DPC CN 2023 Tour 1: Open Qualifier #3","DPC CN 2023 Tour 1: "
307060,"DPC SA 2023 Tour 1: Open Qualifier #3","DPC SA 2023 Tour 1: "
307061,"DPC SEA 2023 Tour 1: Open Qualifier #3","DPC SEA 2023 Tour 1:"
307065,"DPC WEU 2023 Tour 1: Open Qualifier #3","DPC WEU 2023 Tour 1:"
307066,"DPC NA 2023 Tour 1: Open Qualifier #3","DPC NA 2023 Tour 1: "
307067,"DPC CN 2023 Tour 1: Open Qualifier #4","DPC CN 2023 Tour 1: "
307072,"DPC EEU 2023 Tour 1: Open Qualifier #4","DPC EEU 2023 Tour 1:"
307073,"DPC SA 2023 Tour 1: Open Qualifier #4","DPC SA 2023 Tour 1: "
307074,"DPC SEA 2023 Tour 1: Open Qualifier #4","DPC SEA 2023 Tour 1:"
307075,"DPC WEU 2023 Tour 1: Open Qualifier #4","DPC WEU 2023 Tour 1:"
307076,"ESL Impact Katowice 2023: European Open Qualifier #1","ESL Impact Katowice "
307167,"DPC NA 2023 Tour 1: Open Qualifier #4","DPC NA 2023 Tour 1: "
309627,"DPC CN 2023 Tour 1: Closed Qualifier","DPC CN 2023 Tour 1: "
312162,"Contest Pro League 2022/2023 Season 1 Division 2","Contest Pro League 2"
