id,name,nameShortened
774636,"Thunderpick World Championship 2024 - NA Qualifier #2","Thunderpick WC 2024 - NA Q2"
774753,"Gamers Club Liga Série A: May 2024 (Playoffs only)","Gamers Club Liga S A: May24 P"
774756,"Gamers Club Liga Série A: May 2024 (Playoffs)","Liga Série A: May 2024"
774769,"MESA Nomadic Masters Spring 2024","MESA Spring 2024"
774781,"Thunderpick World Championship 2024 - WILDCARD Qualifier","Thunderpick WC - WQ"
774853,"YaLLa Compass 2024","YaLLa Compass 2024"
774914,"Gamers Club Liga Série A: June 2024 (Playoffs only)","GC Liga S-A: June 2024"
774939,"Thunderpick World Championship 2024 - SA Qualifier #2","Thunderpick WC 2024 - SA2"
774979,"Riyadh Masters 2024","Riyadh Masters 2024"
775005,"Esports World Cup 2024 - CS2","Esports World Cup 2024 - CS2"
775025,"Gamers Club Liga Série A: July 2024 (Playoffs only)","Gamers Club Liga S-A: July 24 "
775029,"La Liga Pro 2024","La Liga Pro 2024"
775030,"Circuito Estadual Ferjee 2024 - Closed Qualifier","Circuito Estadual Ferjee 2024"
775083,"Thunderpick World Championship 2024 - EU Qualifier #2","Thunderpick WC 2024 - EU Q2"
775151,"Gamers Club Liga Série A: August 2024","Gamers Club Liga S-A August 24"
775175,"Ljósleiðara deildin 2024","Ljósleiðara deildin 2024"
775204,"CBCS Masters 2024","CBCS Masters 2024"
775226,"Super Copa Feminina 2024","Super Copa Feminina 2024"
775298,"Gamers Club Liga Série A: September 2024 (Playoffs only)","GC Liga A Sep 2024 Playoffs"
775299,"Majstrovstvá SR 2024","Majstrovstvá SR 2024"
775308,"Thunderpick World Championship 2024 - Online Stage","Thunderpick WC 2024 - Online"
775363,"Thunderpick World Championship 2024 - Finals","Thunderpick WC 2024 - Finals"
775376,"CBCS Invitational 2024","CBCS Invitational 2024"
775396,"Gamers Club Liga Série A: October 2024 (Playoffs only)","GC Liga A Oct 2024 Playoffs"
775413,"Desafio Brasileiro de Esports 2024","DBE 2024"
775414,"Perfect World Shanghai Major 2024: European RMR B","European RMR B"
775415,"Perfect World Shanghai Major 2024: European RMR A","European RMR A"
775416,"Perfect World Shanghai Major 2024: American RMR","American RMR"
775417,"Perfect World Shanghai Major 2024: Asia-Pacific RMR","Asia-Pacific RMR"
775446,"Gamers Club Liga Série A: November 2024","GC Liga Série A: November 2024"
775453,"Perfect World Shanghai Major 2024","Shanghai Major 2024"
775480,"Gamers Club Liga Série A: December 2024 (Playoffs only)","GC Liga Série A: December 2024"
